semanaEpi;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos
13;13;13;0;0;0.0;0.0
14;123;10;6;2;0.0;0.0
15;212;10;27;2;0.0;0.0
16;272;19;28;0;0.0;0.0
17;517;46;33;2;0.0;0.0
18;1659;288;47;1;0.0;0.0
19;5193;726;67;6;0.0;0.0
20;11078;920;111;7;0.0;0.0
21;18337;1034;215;21;0.0;0.0
22;24654;878;395;27;0.0;0.0
23;31987;1179;577;26;0.0;0.0
24;43258;2358;841;48;0.0;0.0
25;69637;3511;1177;53;0.0;0.0
26;85316;2623;1590;61;0.0;0.0
27;106939;3240;2098;80;0.0;0.0
28;127140;2783;2603;62;0.0;0.0
29;150980;3077;3022;51;0.0;0.0
30;176419;3856;3391;58;0.0;0.0
31;195683;2592;3720;41;0.0;0.0
32;209431;1266;4037;46;0.0;0.0
33;216849;1043;4352;40;0.0;0.0
34;224080;962;4513;17;0.0;0.0
35;229199;587;4670;24;0.0;0.0
36;233337;548;4779;11;0.0;0.0
37;236653;413;4891;21;0.0;0.0
38;239431;387;4984;9;0.0;0.0
39;241825;347;5025;6;0.0;0.0
40;244884;515;5113;16;0.0;0.0
41;248879;654;5220;16;0.0;0.0
42;254627;812;5358;19;0.0;0.0
43;262880;1342;5459;11;0.0;0.0
44;267262;221;5547;14;0.0;0.0
45;269557;600;5662;16;0.0;0.0
46;273804;440;5743;12;0.0;0.0
47;277497;713;5807;6;0.0;0.0
48;285364;1542;5874;12;0.0;0.0
49;296846;1401;5947;10;0.0;0.0
50;319740;3982;6011;9;0.0;0.0
51;338502;2877;6074;9;0.0;0.0
52;360984;3051;6151;12;0.0;0.0
53;272521;2673;4452;11;0.0;0.0
