semanaEpi;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos
13;304;304;4;4;0.0;0.0
14;3262;376;72;13;0.0;0.0
15;8041;777;271;41;0.0;0.0
16;13821;1105;665;83;0.0;0.0
17;24244;1979;1378;118;0.0;0.0
18;39636;1812;2547;239;0.0;0.0
19;63197;4642;4584;311;0.0;0.0
20;92210;4167;6995;354;0.0;0.0
21;123800;4390;9692;411;0.0;0.0
22;148080;3826;12438;365;0.0;0.0
23;179107;3942;15943;520;0.0;0.0
24;202829;3003;18786;392;0.0;0.0
25;221541;2452;21070;261;0.0;0.0
26;237526;2154;22344;132;0.0;0.0
27;249658;1899;23139;122;0.0;0.0
28;262370;1222;24011;131;0.0;0.0
29;271472;1805;24840;85;0.0;0.0
30;282899;1251;25343;80;0.0;0.0
31;292105;910;25776;30;0.0;0.0
32;299272;1891;25999;42;0.0;0.0
33;310856;998;26233;22;0.0;0.0
34;316706;646;26348;16;0.0;0.0
35;322880;1080;26435;5;0.0;0.0
36;331796;823;26527;30;0.0;0.0
37;333377;389;26671;12;0.0;0.0
38;336768;551;26812;20;0.0;0.0
39;340746;454;26912;6;0.0;0.0
40;342915;313;26998;25;0.0;0.0
41;357222;2874;27120;9;0.0;0.0
42;366601;1001;27190;10;0.0;0.0
43;376723;1458;27238;2;0.0;0.0
44;385797;1215;27361;22;0.0;0.0
45;393940;1240;27424;10;0.0;0.0
46;411095;4233;27469;-6;0.0;0.0
47;445237;3581;27466;18;0.0;0.0
48;466953;3520;27638;42;0.0;0.0
49;484023;1548;27986;41;0.0;0.0
50;505604;3985;28248;29;0.0;0.0
51;530246;3180;28622;83;0.0;0.0
52;546920;1533;28989;15;0.0;0.0
53;400794;3364;20738;8;0.0;0.0
