semanaEpi;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos
1;589170.0;3447;29346;52;0.0;0.0
2;613928.0;3419;29672;33;0.0;0.0
3;638889.0;3532;29855;32;0.0;0.0
4;665415.0;3617;30164;41;0.0;0.0
5;699704.0;5302;30493;67;0.0;0.0
6;729499.0;3771;30987;68;0.0;0.0
7;772713.0;6880;31769;109;0.0;0.0
8;812454.0;6268;32591;164;0.0;0.0
9;863005.0;7979;33769;210;0.0;0.0
10;921432.0;9491;35788;282;0.0;0.0
11;998161.0;11300;37636;281;0.0;0.0
12;1083082.0;7134;39778;342;0.0;0.0
13;1120079.0;9586;42237;330;0.0;0.0
14;1203921.0;14873;44859;493;0.0;0.0
15;1283392.0;8806;47551;309;0.0;0.0
16;1351026.0;9341;49971;326;0.0;0.0
17;1405200.0;5749;51815;238;0.0;0.0
18;1450686.0;8005;53528;202;0.0;0.0
19;1519438.0;9439;55323;280;0.0;0.0
20;1571174.0;7337;57078;274;0.0;0.0
21;1617236.0;5808;58623;166;0.0;0.0
22;1652967.0;4685;59752;123;0.0;0.0
23;1677754.0;2596;61124;244;0.0;0.0
24;1704148.0;4065;62467;169;0.0;0.0
25;1722278.0;2168;63539;132;0.0;0.0
26;1744555.0;3005;64351;100;0.0;0.0
27;1756645.0;1242;64998;85;0.0;0.0
28;1763419.0;1063;65509;60;0.0;0.0
29;1768827.0;622;65804;41;0.0;0.0
30;1774047.0;732;66132;56;0.0;0.0
31;1778948.0;687;66481;44;0.0;0.0
32;1783318.0;470;66881;59;0.0;0.0
33;1785724.0;242;67308;64;0.0;0.0
34;1787048.0;197;67553;20;0.0;0.0
35;1787184.0;-96;67451;-32;0.0;0.0
36;1789201.0;492;67529;32;0.0;0.0
37;1793846.0;723;67642;-4;0.0;0.0
38;1791176.0;-770;67637;6;0.0;0.0
39;1802914.0;1925;67864;48;0.0;0.0
40;1804174.0;117;68079;13;0.0;0.0
41;1804865.0;107;68112;29;0.0;0.0
42;1806069.0;229;68389;39;0.0;0.0
43;1807335.0;137;68675;21;0.0;0.0
44;1808298.0;107;68728;2;0.0;0.0
45;1808872.0;140;68770;12;0.0;0.0
46;1810439.0;193;68859;15;0.0;0.0
47;1811717.0;287;68970;12;0.0;0.0
48;1813843.0;222;69145;30;0.0;0.0
49;1815394.0;267;69288;20;0.0;0.0
50;1816783.0;169;69431;19;0.0;0.0
51;779008.0;42;29803;12;0.0;0.0
53;164843.0;656;8322;16;0.0;0.0
