semanaEpi;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos
1;244953.0;1122;8569;30;0.0;0.0
2;252511.0;1220;8734;27;0.0;0.0
3;260983.0;1081;8890;23;0.0;0.0
4;268761.0;1101;9047;14;0.0;0.0
5;276823.0;1162;9166;19;0.0;0.0
6;285861.0;1113;9325;24;0.0;0.0
7;307819.0;3691;9418;19;0.0;0.0
8;320085.0;1592;9680;36;0.0;0.0
9;333699.0;1885;9932;41;0.0;0.0
10;347082.0;2024;10321;73;0.0;0.0
11;356538.0;350;10950;96;0.0;0.0
12;365934.0;2451;11752;130;0.0;0.0
13;379334.0;1589;12568;116;0.0;0.0
14;389567.0;1742;13282;85;0.0;0.0
15;400369.0;1084;13803;70;0.0;0.0
16;406984.0;1050;14272;83;0.0;0.0
17;415868.0;1238;14849;62;0.0;0.0
18;422655.0;905;15267;54;0.0;0.0
19;439268.0;4294;15654;51;0.0;0.0
20;460804.0;1423;15955;39;0.0;0.0
21;472499.0;1612;16190;34;0.0;0.0
22;480883.0;1041;16467;33;0.0;0.0
23;487651.0;1308;16773;57;0.0;0.0
24;501851.0;1963;17112;40;0.0;0.0
25;582788.0;19538;17415;44;0.0;0.0
26;653450.0;2413;17622;22;0.0;0.0
27;665668.0;1109;17789;28;0.0;0.0
28;670666.0;614;18032;37;0.0;0.0
29;675563.0;1040;18190;12;0.0;0.0
30;682093.0;457;18307;20;0.0;0.0
31;684913.0;420;18517;37;0.0;0.0
32;687947.0;446;18654;7;0.0;0.0
33;691287.0;478;18693;6;0.0;0.0
34;694373.0;331;18730;3;0.0;0.0
35;696132.0;194;18755;4;0.0;0.0
36;697606.0;216;18783;4;0.0;0.0
37;698715.0;146;18802;2;0.0;0.0
38;700156.0;198;18819;2;0.0;0.0
39;701165.0;172;18832;2;0.0;0.0
40;702636.0;236;18854;5;0.0;0.0
41;704175.0;278;18888;5;0.0;0.0
42;706487.0;303;18879;-3;0.0;0.0
43;708949.0;428;18906;7;0.0;0.0
44;712341.0;393;18940;2;0.0;0.0
45;716037.0;727;18973;7;0.0;0.0
46;719851.0;482;19033;10;0.0;0.0
47;680887.0;510;19094;6;0.0;0.0
48;727164.0;464;19115;1;0.0;0.0
49;730595.0;452;19149;9;0.0;0.0
50;732171.0;149;19202;8;0.0;0.0
51;314122.0;45;8251;6;0.0;0.0
53;68870.0;-4;2410;0;0.0;0.0
