semanaEpi;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos
1;262425.0;1518;7801;27;0.0;0.0
2;272972.0;1424;8011;31;0.0;0.0
3;283067.0;1431;8253;35;0.0;0.0
4;297668.0;2449;8485;34;0.0;0.0
5;311404.0;1761;8713;31;0.0;0.0
6;322668.0;1717;8913;28;0.0;0.0
7;338340.0;2310;9112;29;0.0;0.0
8;350508.0;1500;9314;30;0.0;0.0
9;361423.0;1550;9540;32;0.0;0.0
10;375259.0;2283;9816;46;0.0;0.0
11;394234.0;2828;10200;62;0.0;0.0
12;410443.0;1966;10689;75;0.0;0.0
13;423397.0;2028;11225;77;0.0;0.0
14;438242.0;1966;11802;86;0.0;0.0
15;454209.0;2188;12425;90;0.0;0.0
16;466047.0;1546;12994;75;0.0;0.0
17;477313.0;1901;13497;65;0.0;0.0
18;490003.0;1733;13875;53;0.0;0.0
19;501781.0;1637;14239;46;0.0;0.0
20;512188.0;1376;14529;44;0.0;0.0
21;522421.0;1528;14871;49;0.0;0.0
22;531974.0;1491;15185;44;0.0;0.0
23;545339.0;1869;15498;45;0.0;0.0
24;556807.0;1539;15796;37;0.0;0.0
25;568306.0;1547;16057;42;0.0;0.0
26;579347.0;1621;16354;44;0.0;0.0
27;590871.0;1623;16642;33;0.0;0.0
28;597442.0;630;16924;51;0.0;0.0
29;601272.0;525;17274;41;0.0;0.0
30;606567.0;708;17521;40;0.0;0.0
31;610512.0;710;17804;37;0.0;0.0
32;613771.0;239;18015;23;0.0;0.0
33;617630.0;581;18168;26;0.0;0.0
34;621595.0;772;18349;22;0.0;0.0
35;625687.0;429;18474;13;0.0;0.0
36;629284.0;472;18572;18;0.0;0.0
37;631484.0;333;18706;19;0.0;0.0
38;633360.0;194;18816;15;0.0;0.0
39;634811.0;189;18941;17;0.0;0.0
40;636924.0;359;19023;10;0.0;0.0
41;638763.0;232;19101;11;0.0;0.0
42;640474.0;229;19163;8;0.0;0.0
43;642513.0;317;19215;7;0.0;0.0
44;644745.0;298;19264;7;0.0;0.0
45;646543.0;248;19313;7;0.0;0.0
46;648033.0;196;19362;7;0.0;0.0
47;649752.0;214;19419;9;0.0;0.0
48;650437.0;116;19491;9;0.0;0.0
49;651371.0;118;19534;7;0.0;0.0
50;651881.0;59;19577;5;0.0;0.0
51;279474.0;12;8400;2;0.0;0.0
53;73181.0;334;2196;9;0.0;0.0
