semanaEpi;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos
1;364661.0;1532;18990;53;0.0;0.0
2;377411.0;1889;19452;59;0.0;0.0
3;388816.0;1667;19919;60;0.0;0.0
4;402554.0;2505;20184;27;0.0;0.0
5;422820.0;2913;20407;46;0.0;0.0
6;447967.0;3986;20738;38;0.0;0.0
7;477704.0;4176;21016;45;0.0;0.0
8;502836.0;3200;21308;39;0.0;0.0
9;522542.0;2651;21598;47;0.0;0.0
10;534855.0;1418;21932;51;0.0;0.0
11;556043.0;4301;22423;77;0.0;0.0
12;587357.0;4610;22964;86;0.0;0.0
13;615405.0;3779;23595;84;0.0;0.0
14;642908.0;4005;24157;78;0.0;0.0
15;668944.0;2717;24711;85;0.0;0.0
16;693259.0;3948;25359;98;0.0;0.0
17;717196.0;3515;26299;162;0.0;0.0
18;740204.0;3715;27255;113;0.0;0.0
19;772022.0;4363;27946;103;0.0;0.0
20;788173.0;-9389;24478;-4028;0.0;0.0
21;830061.0;17577;29208;4214;0.0;0.0
22;859606.0;4302;30040;106;0.0;0.0
23;886644.0;3799;30805;113;0.0;0.0
24;910788.0;3353;31568;108;0.0;0.0
25;932163.0;2302;32262;79;0.0;0.0
26;945409.0;2014;32735;79;0.0;0.0
27;965703.0;3176;33257;69;0.0;0.0
28;986929.0;2682;33745;68;0.0;0.0
29;999772.0;1719;34425;133;0.0;0.0
30;1013019.0;1786;35115;52;0.0;0.0
31;1026536.0;1744;35612;99;0.0;0.0
32;1033539.0;882;36168;46;0.0;0.0
33;1040033.0;894;36473;48;0.0;0.0
34;1045884.0;772;36749;33;0.0;0.0
35;1054887.0;1578;36981;39;0.0;0.0
36;1063977.0;1259;37295;38;0.0;0.0
37;1071144.0;709;37542;33;0.0;0.0
38;1077350.0;1436;37736;29;0.0;0.0
39;1086636.0;926;37958;33;0.0;0.0
40;1092176.0;705;38229;41;0.0;0.0
41;1096959.0;668;38398;14;0.0;0.0
42;1101366.0;651;38504;15;0.0;0.0
43;1106794.0;867;38633;19;0.0;0.0
44;1112481.0;817;38796;28;0.0;0.0
45;1117498.0;466;38975;20;0.0;0.0
46;1120179.0;400;39084;20;0.0;0.0
47;1123119.0;474;39265;26;0.0;0.0
48;1126182.0;319;39404;14;0.0;0.0
49;1128989.0;392;39510;15;0.0;0.0
50;1130014.0;26;39598;13;0.0;0.0
51;484349.0;9;17004;6;0.0;0.0
53;102334.0;445;5391;1;0.0;0.0
