semanaEpi;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos
1;781689.0;2950;22473;49;0.0;0.0
2;808667.0;5511;22792;40;0.0;0.0
3;843068.0;3590;23045;46;0.0;0.0
4;873199.0;4597;23552;85;0.0;0.0
5;901917.0;3837;23994;48;0.0;0.0
6;932339.0;4763;24414;76;0.0;0.0
7;968273.0;5555;25169;124;0.0;0.0
8;1011453.0;7205;26072;153;0.0;0.0
9;1061859.0;7031;27588;253;0.0;0.0
10;1108011.0;5976;29150;198;0.0;0.0
11;1147194.0;5396;30699;270;0.0;0.0
12;1182496.0;4876;32835;329;0.0;0.0
13;1216953.0;4150;34908;250;0.0;0.0
14;1244400.0;3948;36451;214;0.0;0.0
15;1270980.0;3621;38092;269;0.0;0.0
16;1294929.0;3355;39768;203;0.0;0.0
17;1322154.0;4207;41260;170;0.0;0.0
18;1349301.0;3794;42319;132;0.0;0.0
19;1377839.0;4436;43372;213;0.0;0.0
20;1410912.0;4930;44519;97;0.0;0.0
21;1445089.0;4892;45655;226;0.0;0.0
22;1474181.0;3207;47022;174;0.0;0.0
23;1502895.0;4757;48330;216;0.0;0.0
24;1532178.0;4048;49772;167;0.0;0.0
25;1557197.0;2678;50900;149;0.0;0.0
26;1573200.0;2276;51763;119;0.0;0.0
27;1590054.0;2700;52456;85;0.0;0.0
28;1605354.0;1433;53062;80;0.0;0.0
29;1616102.0;1649;53492;46;0.0;0.0
30;1624908.0;955;53767;36;0.0;0.0
31;1630252.0;568;53959;28;0.0;0.0
32;1634148.0;530;54175;23;0.0;0.0
33;1638138.0;572;54302;15;0.0;0.0
34;1641565.0;473;54493;65;0.0;0.0
35;1644899.0;430;54921;43;0.0;0.0
36;1646736.0;113;55204;30;0.0;0.0
37;1648687.0;373;55500;57;0.0;0.0
38;1650881.0;336;55848;41;0.0;0.0
39;1652959.0;261;56037;9;0.0;0.0
40;1654641.0;218;56097;11;0.0;0.0
41;1655885.0;149;56168;12;0.0;0.0
42;1657245.0;243;56233;3;0.0;0.0
43;1658915.0;255;56306;14;0.0;0.0
44;1660489.0;189;56372;10;0.0;0.0
45;1662413.0;352;56453;9;0.0;0.0
46;1664720.0;323;56492;5;0.0;0.0
47;1667269.0;328;56528;5;0.0;0.0
48;1669268.0;306;56569;5;0.0;0.0
49;1671282.0;185;56614;7;0.0;0.0
50;1671691.0;0;56640;2;0.0;0.0
51;716439.0;0;24276;0;0.0;0.0
53;220453.0;380;6357;9;0.0;0.0
