semanaEpi;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos
1;356516.0;1654;8601;21;0.0;0.0
2;368960.0;1709;8726;16;0.0;0.0
3;380002.0;1572;8825;11;0.0;0.0
4;389462.0;1077;8906;16;0.0;0.0
5;397822.0;1346;9005;16;0.0;0.0
6;406361.0;1160;9128;14;0.0;0.0
7;416233.0;1581;9226;11;0.0;0.0
8;427108.0;1607;9325;26;0.0;0.0
9;439397.0;1903;9546;31;0.0;0.0
10;455078.0;2489;9823;53;0.0;0.0
11;470341.0;2268;10208;59;0.0;0.0
12;490615.0;3067;10654;56;0.0;0.0
13;516352.0;4051;11130;83;0.0;0.0
14;542387.0;3071;11730;93;0.0;0.0
15;561073.0;2448;12541;103;0.0;0.0
16;578249.0;2507;13084;75;0.0;0.0
17;591268.0;1760;13572;62;0.0;0.0
18;607566.0;2750;13990;63;0.0;0.0
19;625407.0;2247;14293;33;0.0;0.0
20;640949.0;2271;14731;78;0.0;0.0
21;655158.0;1744;15137;42;0.0;0.0
22;667477.0;1791;15475;58;0.0;0.0
23;677326.0;1286;15883;49;0.0;0.0
24;686563.0;1201;16221;61;0.0;0.0
25;694903.0;1200;16707;67;0.0;0.0
26;701587.0;653;17138;51;0.0;0.0
27;706706.0;943;17273;4;0.0;0.0
28;712833.0;712;17371;18;0.0;0.0
29;716950.0;537;17461;14;0.0;0.0
30;720688.0;509;17545;7;0.0;0.0
31;723786.0;395;17582;8;0.0;0.0
32;726340.0;333;17646;9;0.0;0.0
33;728516.0;252;17686;4;0.0;0.0
34;730171.0;269;17721;4;0.0;0.0
35;732640.0;337;17742;4;0.0;0.0
36;734603.0;259;17763;2;0.0;0.0
37;736242.0;198;17790;4;0.0;0.0
38;737771.0;227;17808;2;0.0;0.0
39;739466.0;294;17836;6;0.0;0.0
40;742009.0;458;17868;6;0.0;0.0
41;746107.0;568;17922;8;0.0;0.0
42;749373.0;433;17977;5;0.0;0.0
43;752701.0;460;18013;6;0.0;0.0
44;755721.0;456;18032;0;0.0;0.0
45;758517.0;408;18058;6;0.0;0.0
46;761347.0;385;18103;7;0.0;0.0
47;764640.0;493;18141;5;0.0;0.0
48;768020.0;462;18172;4;0.0;0.0
49;770638.0;333;18199;4;0.0;0.0
50;772291.0;171;18226;5;0.0;0.0
51;331509.0;106;7823;2;0.0;0.0
53;100188.0;370;2432;2;0.0;0.0
